"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 13 07:24:14 UTC 2024","Mon May 13 07:24:20 UTC 2024","6471","","21. Forgot password function","","","","1. Direct to forgot password page",""
"skipped","Mon May 13 06:22:40 UTC 2024","Mon May 13 06:22:40 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"skipped","Mon May 13 08:21:13 UTC 2024","Mon May 13 08:21:13 UTC 2024","1","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Mon May 13 06:37:24 UTC 2024","Mon May 13 06:37:27 UTC 2024","2629","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"skipped","Mon May 13 08:21:13 UTC 2024","Mon May 13 08:21:13 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Mon May 13 06:50:19 UTC 2024","Mon May 13 06:50:23 UTC 2024","4324","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"skipped","Mon May 13 05:59:39 UTC 2024","Mon May 13 05:59:39 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"broken","Mon May 13 08:21:13 UTC 2024","Mon May 13 08:21:13 UTC 2024","2","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Mon May 13 06:01:54 UTC 2024","Mon May 13 06:01:55 UTC 2024","349","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"failed","Mon May 13 06:38:07 UTC 2024","Mon May 13 06:40:39 UTC 2024","152116","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Mon May 13 06:04:19 UTC 2024","Mon May 13 06:04:21 UTC 2024","1422","","12. Client Portal - Forms","","","","2. Check Form Page",""
"skipped","Mon May 13 08:21:13 UTC 2024","Mon May 13 08:21:13 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Mon May 13 06:49:51 UTC 2024","Mon May 13 06:50:07 UTC 2024","15367","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Mon May 13 06:37:11 UTC 2024","Mon May 13 06:37:21 UTC 2024","10287","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Mon May 13 06:04:26 UTC 2024","Mon May 13 06:04:27 UTC 2024","1511","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
